distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
53,32.00000148,22.99999968,Local
54,32.00000148,22.99999968,Local
239,32.00000148,22.99999968,Local
240,32.00000148,22.99999968,Local
454,32.00000148,22.99999968,Local
455,32.00000148,28.00000116,Local
480,32.00000148,34.00000092,Local
513,32.00000148,33.0000012,Local
556,32.00000148,30.000002400000003,Local
618,32.00000148,34.00000092,Local
628,32.00000148,32.00000148,Local
658,32.00000148,33.0000012,Local
704,32.00000148,34.00000092,Local
801,32.00000148,31.000001759999996,Local
824,32.00000148,27.0,Local
849,32.00000148,33.0000012,Local
854,32.00000148,35.00000028,Local
860,32.00000148,32.00000148,Local
871,32.00000148,34.00000092,Local
915,32.00000148,38.00000268,Local
936,32.00000148,39.00000240000001,Local
998,32.00000148,35.00000028,Local
1006,32.00000148,35.00000028,Local
1031,32.00000148,35.00000028,Local
1060,32.00000148,27.0,Local
1090,32.00000148,22.00000032,Local
1117,32.00000148,28.99999908,Local
1132,32.00000148,33.0000012,Local
1154,32.00000148,36.99999972,Local
1184,32.00000148,36.0,Local
1242,32.00000148,36.99999972,Local
1254,32.00000148,35.00000028,Local
1368,32.00000148,30.000002400000003,Local
1428,32.00000148,32.00000148,Local
1468,32.00000148,28.00000116,Local
1489,32.00000148,32.00000148,Local
1515,32.00000148,28.00000116,Local
1544,32.00000148,14.00000076,Local
1609,32.00000148,24.000001200000003,Local
1625,32.00000148,30.000002400000003,Local
1683,32.00000148,32.00000148,Local
1722,32.00000148,28.99999908,Local
1748,32.00000148,24.000001200000003,Local
1800,32.00000148,27.0,Local
1816,32.00000148,28.99999908,Local
1843,32.00000148,28.99999908,Local
1867,32.00000148,24.000001200000003,Local
1891,32.00000148,32.00000148,Local
1902,32.00000148,32.00000148,Local
1918,32.00000148,32.00000148,Local
1932,32.00000148,28.99999908,Local
1972,32.00000148,31.000001759999996,Local
2023,32.00000148,35.00000028,Local
2101,32.00000148,34.00000092,Local
2132,32.00000148,33.0000012,Local
2141,32.00000148,30.000002400000003,Local
2160,32.00000148,27.0,Local
2180,32.00000148,16.00000092,Local
2217,32.00000148,25.00000092,Local
2230,32.00000148,25.00000092,Local
2231,32.00000148,22.00000032,Access
2259,32.00000148,28.99999908,Access
2286,32.00000148,34.00000092,Access
2343,32.00000148,34.00000092,Access
2356,32.00000148,35.00000028,Access
2388,32.00000148,34.00000092,Access
2437,32.00000148,33.0000012,Access
2453,32.00000148,34.00000092,Access
2473,32.00000148,34.00000092,Access
2493,32.00000148,33.0000012,Access
2510,32.00000148,32.00000148,Access
2523,32.00000148,17.000000280000002,Access
2601,32.00000148,17.000000280000002,Access
2615,32.00000148,25.00000092,Access
2636,32.00000148,31.000001759999996,Access
2658,32.00000148,34.00000092,Access
2685,32.00000148,22.00000032,Access
2747,32.00000148,14.00000076,Access
2773,32.00000148,14.00000076,Access
2774,32.00000148,28.00000116,Trunk
2785,32.00000148,30.000002400000003,Trunk
2795,32.00000148,32.00000148,Trunk
2817,48.00000240000001,48.00000240000001,Trunk
2964,48.00000240000001,45.99999972,Trunk
3053,48.00000240000001,45.99999972,Trunk
3054,48.00000240000001,30.000002400000003,Trunk
3190,48.00000240000001,42.0000012,Trunk
3196,48.00000240000001,43.00000092,Trunk
3240,48.00000240000001,45.99999972,Trunk
3300,48.00000240000001,47.00000268,Trunk
3317,48.00000240000001,47.00000268,Trunk
3332,48.00000240000001,47.00000268,Trunk
3344,48.00000240000001,44.00000028,Trunk
3507,48.00000240000001,40.00000176,Trunk
3611,48.00000240000001,28.00000116,Trunk
3640,48.00000240000001,21.0000006,Trunk
3697,48.00000240000001,21.0000006,Trunk
3698,32.00000148,21.0000006,Access
3712,32.00000148,20.00000088,Access
3749,32.00000148,22.00000032,Access
3768,32.00000148,25.00000092,Access
3775,32.00000148,27.0,Access
3786,32.00000148,28.00000116,Access
3813,32.00000148,28.00000116,Access
3847,32.00000148,32.00000148,Access
3858,32.00000148,34.00000092,Access
3897,32.00000148,33.0000012,Access
3971,32.00000148,33.0000012,Access
3972,,,Local
